1008;441;ASISTEN MANAGER;15;25;82;GEDUNG KANTOR;ICA;Ebonit;4;;4;0;0;0;5.jpeg;
1009;55;ASISTEN MANAGER;15;25;82;GEDUNG KANTOR;EPSON/CANON;Ebonit;3;;3;0;0;0;6.jpeg;
1010;217;ASISTEN MANAGER;15;25;82;GEDUNG KANTOR;CASIO DS 3L;Ebonit;3;;3;0;0;0;7.jpeg;
1011;0;0;15;27;82;0;0;0;0;0;0;0;0;0;0;0
1012;0;0;15;27;82;GEDUNG KANTOR;0;0;0;0;0;0;0;0;0;0
1013;0;UTAMA;15;27;82;GEDUNG KANTOR;0;0;0;0;0;0;0;0;0;0
1014;254;UTAMA;15;27;82;GEDUNG KANTOR;FANTONI;Ebonit;2;;2;0;0;0;649eaed36b5eb;
1015;481;UTAMA;15;27;82;GEDUNG KANTOR;LENOVO;Ebonit;1;;1;0;0;0;2.jpeg;
1016;441;UTAMA;15;27;82;GEDUNG KANTOR;ICA;Ebonit;1;;1;0;0;0;3.jpeg;
1017;290;UTAMA;15;27;82;GEDUNG KANTOR;SAGA;Ebonit;2;;2;0;0;0;4.jpeg;
1025;480;TATA USAHA;40;66;82;GEDUNG KANTOR;-;Ebonit;3;;3;0;0;0;6498ee299889f4.jpeg;
1026;275;TATA USAHA;40;66;82;GEDUNG KANTOR;-;Ebonit;3;;3;0;0;0;6498ee299d0f75.jpeg;
1027;481;TATA USAHA;40;66;82;GEDUNG KANTOR;-;Ebonit;2;UNIT;2;0;0;0;6498f0bcd95263.jpeg;
1028;127;TATA USAHA;40;66;82;GEDUNG KANTOR;;Ebonit;1;UNIT;1;0;0;0;6498f0bcddb956.jpeg;
1029;441;TATA USAHA;40;66;82;GEDUNG KANTOR;-;Ebonit;5;UNIT;5;0;0;0;6498f21e4eaf97.jpeg;
1030;142;TATA USAHA;40;66;82;GEDUNG KANTOR;FIRESAFE;Besi;1;UNIT;1;0;0;0;6498f21e52f4711.jpeg;
1031;254;TATA USAHA;40;66;82;GEDUNG KANTOR;-;Ebonit;6;BUAH;6;0;0;0;6498f21e561ad8.jpeg;
1032;486;TATA USAHA;40;66;82;GEDUNG KANTOR;-;Ebonit;1;Array;1;0;0;0;6498f3519dc4912.jpeg;
1033;55;TATA USAHA;40;66;82;GEDUNG KANTOR;CANON;Ebonit;1;UNIT;1;0;0;0;6498f351abcbb13.jpeg;
1034;0;0;40;146;82;0;0;0;0;0;0;0;0;0;0;0
1035;0;0;40;146;82;GEDUNG KANTOR;0;0;0;0;0;0;0;0;0;0
1036;0;LPSE;40;146;82;GEDUNG KANTOR;0;0;0;0;0;0;0;0;0;0
1037;481;LPSE;40;146;82;GEDUNG KANTOR;-;Ebonit;8;UNIT;8;0;0;0;6498faf3594142.jpeg;
1038;828;LPSE;40;146;82;GEDUNG KANTOR;-;Ebonit;1;UNIT;1;0;0;0;6498faf35da645.jpeg;
1039;281;LPSE;40;146;82;GEDUNG KANTOR;-;Besi;4;UNIT;4;0;0;0;6498faf360ba14.jpeg;
1040;55;LPSE;40;146;82;GEDUNG KANTOR;-;Ebonit;9;UNIT;9;0;0;0;6498faf363c213.jpeg;
1041;127;LPSE;40;146;82;GEDUNG KANTOR;-;Ebonit;1;UNIT;1;0;0;0;6498fb7cea8216.jpeg;
1042;376;LPSE;40;146;82;GEDUNG KANTOR;-;Ebonit;1;BUAH;1;0;0;0;6498fb7cefee27.jpeg;
1043;486;LPSE;40;146;82;GEDUNG KANTOR;-;Ebonit;1;UNIT;1;0;0;0;6498fc96d44e98.jpeg;
1044;0;0;15;124;82;0;0;0;0;0;0;0;0;0;0;0
1045;0;0;15;124;82;MANAGER;0;0;0;0;0;0;0;0;0;0
1046;0;MANAGER;15;124;82;MANAGER;0;0;0;0;0;0;0;0;0;0
1047;291;MANAGER;15;124;82;MANAGER;-;Ebonit;1;UNIT;1;0;0;0;64990063a7c239.jpeg;
1048;255;MANAGER;15;124;82;MANAGER;-;Ebonit;1;UNIT;1;0;0;0;64990063ac41f8.jpeg;
1049;678;MANAGER;15;124;82;MANAGER;-;Ebonit;2;BUAH;2;0;0;0;6499075ed83162.jpeg;
1050;275;MANAGER;15;124;82;MANAGER;"AOC 20""";Ebonit;1;UNIT;1;0;0;0;6499075edbbc83.jpeg;
1051;480;MANAGER;15;124;82;MANAGER;ACER;Ebonit;1;UNIT;1;0;0;0;64990800b24d04.jpeg;
1052;441;MANAGER;15;124;82;MANAGER;ICA;Ebonit;1;UNIT;1;0;0;0;64990800bb5276.jpeg;
